ROM DataFile Version : 1.1
ORDOS_400_2__DISK10¬ordos40a¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ORDOS_400_3__DISK6¬ordos40b¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ORDOS403¬ordos403¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ORDOS_403_Src__25¬ordos403s¬ordos403¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ORDOS_403_Src__P25-128¬ordos403sa¬ordos403¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
ORDOS_610__ORDOS6¬ordos610¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OSDOS_OSDOS60k_320__RusEmulatotsRu01¬osdos60k¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OSDOS_241__02¬osdos24a¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OSDOS_261_1__OSDOS¬osdos26a¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OSDOS_261_2__DISK8¬osdos26b¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OSDOS_360__30¬osdos36a¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OSDOS_370_2__OSDOS370¬osdos370¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
OSDOS_370_3__CPM370¬cpm37a¬¬¬./qp.exe¬Retroarch Orion 128 -SOFTLIST orion_flop (MAME)¬<unknown>¬19??¬¬¬¬¬¬0¬1¬<IPS>¬</IPS>¬¬¬
